Relation ID,Relation Strings,Test Triple Count,Train Triple Count,Relation Type,MR,MRR,Hits@1,Hits@3,Hits@10
0,_hyponym,1152,6542,1-N,8857.519097,0.299593,0.260851,0.320747,0.367622
1,_hypernym,1197,7853,M-1,8362.497911,0.318032,0.279031,0.339599,0.389307
2,_member_holonym,270,6815,M-1,335.881481,0.772339,0.701852,0.824074,0.901852
3,_derivationally_related_form,1038,6791,1-1,10441.379576,0.307367,0.237476,0.379094,0.399326
4,_instance_hypernym,89,2701,M-1,39.185393,0.570259,0.477528,0.623596,0.707865
5,_also_see,44,1186,M-N,1630.238636,0.637705,0.454545,0.806818,0.886364
6,_member_meronym,260,6847,1-N,191.300000,0.752617,0.673077,0.803846,0.905769
7,_member_of_domain_topic,118,2873,1-N,465.796610,0.572350,0.500000,0.597458,0.707627
8,_part_of,165,4451,M-1,298.587879,0.709230,0.618182,0.760606,0.869697
9,_instance_hyponym,103,2716,1-N,85.684466,0.576793,0.500000,0.621359,0.679612
10,_synset_domain_topic_of,108,2887,M-1,174.555556,0.591580,0.523148,0.606481,0.740741
11,_has_part,166,4389,1-N,204.246988,0.728996,0.626506,0.798193,0.918675
12,_member_of_domain_usage,21,581,1-N,28.357143,0.540096,0.500000,0.523810,0.619048
13,_member_of_domain_region,26,853,1-N,731.923077,0.515035,0.423077,0.576923,0.653846
14,_synset_domain_usage_of,13,592,M-1,35.000000,0.530796,0.500000,0.538462,0.576923
15,_synset_domain_region_of,23,827,M-1,749.086957,0.623192,0.586957,0.652174,0.695652
16,_verb_group,33,1044,1-1,729.257576,0.911618,0.863636,0.969697,0.969697
17,_similar_to,8,77,1-1,1.125000,0.937500,0.875000,1.000000,1.000000
