Relation ID,Relation Strings,Test Triple Count,Train Triple Count,Relation Type,Filtered MR,Filtered MRR,Filtered Hits@1,Filtered Hits@3,Filtered Hits@10
0,_hyponym,1185,8706,1-N,9404.664979,0.379504,0.362025,0.389030,0.407173
1,_hypernym,1209,6608,M-1,9696.105873,0.396533,0.380893,0.405707,0.425145
2,_member_holonym,268,6792,M-1,330.026119,0.968861,0.960821,0.977612,0.979478
3,_derivationally_related_form,1015,8479,1-1,9150.811823,0.460048,0.438424,0.478818,0.490148
4,_instance_hypernym,90,2703,M-1,13.166667,0.926453,0.888889,0.955556,0.994444
5,_also_see,42,1214,M-N,932.178571,0.976191,0.976190,0.976190,0.976190
6,_member_meronym,246,6813,1-N,130.729675,0.973914,0.967480,0.979675,0.983740
7,_member_of_domain_topic,123,2839,1-N,261.719512,0.928972,0.906504,0.947154,0.987805
8,_part_of,155,4446,M-1,199.951613,0.983872,0.980645,0.987097,0.987097
9,_instance_hyponym,92,2702,1-N,1.467391,0.910115,0.875000,0.918478,0.994565
10,_synset_domain_topic_of,106,2844,M-1,225.113208,0.928963,0.905660,0.948113,0.976415
11,_has_part,155,4438,1-N,366.967742,0.985485,0.983871,0.987097,0.987097
12,_member_of_domain_usage,16,594,1-N,1.156250,0.942708,0.906250,1.000000,1.000000
13,_member_of_domain_region,29,846,1-N,1160.327586,0.842534,0.775862,0.913793,0.931034
14,_synset_domain_usage_of,23,592,M-1,7.326087,0.918555,0.891304,0.913043,0.978261
15,_synset_domain_region_of,43,849,M-1,1.906977,0.860530,0.825581,0.837209,0.988372
16,_verb_group,35,1057,1-1,406.842857,0.971431,0.971429,0.971429,0.971429
17,_similar_to,2,75,1-1,1.000000,1.000000,1.000000,1.000000,1.000000
